CountryName,CountryCode,IndicatorName,IndicatorCode,Year,GDP
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,1960,312847710618.945
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,1960,351271390107.743
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,1960,38320022083.1443
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,1960,12063716103.7475
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1960,
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1960,27105173973.3975
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
India,IND,GDP (current US$),NY.GDP.MKTP.CD,1960,37029883846.9303
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,1960,
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1960,1939329775.43739
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1960,4199134385.70456
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1960,1683918769.46355
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1960,248434274.503252
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1960,2887228551.94742
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1960,40385288344.1911
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,1960,699064380.793686
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,1960,44307342906.2157
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,1960,
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1960,791265458.813328
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,1960,
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,1960,637142865.714286
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1960,
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1960,12366635.7449245
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1960,3958824423.99818
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,1960,
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,1960,68172083254.5475
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,1960,
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,1960,
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,1960,84318575227.7481
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,1960,
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,1960,
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,1960,1409873949.57983
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,1960,88132926255.9844
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,1960,328460411085.232
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,1960,34579986.1818375
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,1960,187879636913.398
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,1960,
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,1960,703925705.942958
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,1960,
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,1960,
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1960,2037154740.29751
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,1960,
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1960,673081724.075966
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,1960,
Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1960,13039999986.96
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,1960,
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,1960,316376209430.522
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,1960,
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,1960,
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,1960,
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,1960,
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,1960,
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,1960,
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,1960,
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,1960,
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1960,1916229475.84631
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,1960,583846865155.963
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,1960,
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,1960,
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,1960,449526872.565561
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,1960,4196174503.20867
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1960,227223322.141537
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1960,12276734172.0828
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,1960,5163271598.15702
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1960,508334413.965087
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,1960,
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1960,5485854791.97096
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,1960,1074536963868.01
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1960,3749265014.69971
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1960,537147100.0
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,1960,2571986572.12719
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,1960,7515892289.174
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,1960,
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,1960,230496036.907025
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1960,
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1960,20753285598.4638
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1960,1691900000.0
"Korea, Dem. People's Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,1960,
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,1960,3193200404.37297
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,1960,
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,1960,1047773359738.19
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,1960,
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,1960,
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,1960,
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,1960,119000024.119
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,1960,47156704038.6455
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,1960,1126364161.7644
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,1960,1003692368.83803
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,1960,704751699.827961
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1960,321993630.573248
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,1960,
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,1960,180459936.62083
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1960,31027714943.1575
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1960,31038651924.7156
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,1960,
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,1960,99650000.0
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,1960,
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,1960,15822585461.2453
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1960,35076845.9832923
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1960,12012025.2477875
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,1960,857704413.647403
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1960,313582727.638108
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,1960,81224776384.7074
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,1960,
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,1960,164603553.982281
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,1960,2760750921.40101
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,1960,
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,1960,79315282447.4448
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,1960,
South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,1960,47156704038.6455
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1960,31038651924.7155
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,1960,535673252.260337
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,1960,7552470818.80865
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,1960,
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,1960,423008385.744235
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,1960,229313536534.492
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1960,1242289239.20493
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1960,543300000000.0
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1960,
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1960,13066633.9946372
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,1960,7663938303.07172
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,1960,
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1960,1384857385930.82
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,1960,
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1960,8748596504.06083
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1960,713000000.0
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1960,1052990400.0
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1961,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1961,21616228139.0375
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1961,548888895.555556
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,1961,11173212080.394
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1961,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1961,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1961,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1961,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1961,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1961,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1961,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1961,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1961,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1961,19682883151.6233
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1961,7311749633.36229
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1961,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1961,202999991.80106
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1961,12400145221.595
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1961,235668220.872225
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1961,350247234.801719
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1961,4817580183.60155
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1961,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1961,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1961,190098039.215686
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1961,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1961,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1961,29964999.9560105
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1961,89249986.6972895
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1961,410101010.10101
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1961,17275940449.3837
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1961,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1961,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1961,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1961,32902592.8362861
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1961,123134583.653758
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1961,40935133543.1576
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1961,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1961,10712712645.6663
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1961,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1961,4828612639.17894
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1961,50056688014.5744
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1961,618245635.134801
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1961,652777609.328803
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1961,3086746857.14286
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1961,151675739.160627
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1961,4540447761.87171
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1961,
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1961,
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1961,490325181.614275
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1961,2038322827.28313
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1961,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,1961,
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,1961,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1961,
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,1961,
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1961,
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1961,
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,1961,
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1961,
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1961,654100200.0
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1961,2434747053.99859
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1961,71596255522.1951
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1961,159940391122.294
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1961,155171539971.904
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,1961,
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,1961,
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1961,1753850416.75551
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1961,
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1961,268965206140.915
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1961,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1961,13834300571.4849
