,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,GDP
131,Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,1960,
132,Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,1960,
133,St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1960,
134,Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,1960,84318575227.7481
135,Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,1960,
136,Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,1960,
137,Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,1960,
138,Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,1960,1409873949.57983
139,Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,1960,88132926255.9844
140,Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,1960,328460411085.232
141,Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,1960,34579986.1818375
142,Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,1960,187879636913.398
143,Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,1960,
144,Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,1960,703925705.942958
145,Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,1960,
146,"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,1960,
147,St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,1960,
148,Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1960,2037154740.29751
149,Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,1960,
150,Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,1960,
151,Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1960,673081724.075966
152,Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,1960,
153,Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,1960,
154,Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1960,13039999986.96
155,Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,1960,
156,Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,1960,316376209430.522
157,North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,1960,
158,Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,1960,
159,Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,1960,
160,Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,1960,
161,Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1960,
162,Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,1960,
163,Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,1960,
164,Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,1960,
165,Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,1960,
166,Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,1960,
167,Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,1960,
168,Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,1960,
169,Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1960,1916229475.84631
170,North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,1960,583846865155.963
171,Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,1960,
172,New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,1960,
173,Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,1960,449526872.565561
174,Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,1960,4196174503.20867
175,Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1960,227223322.141537
176,Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1960,12276734172.0828
177,Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,1960,5163271598.15702
178,Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1960,508334413.965087
179,Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,1960,
180,New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1960,5485854791.97096
181,OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,1960,1074536963868.01
182,Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
183,Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,1960,
184,Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1960,3749265014.69971
185,Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1960,537147100.0
186,Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,1960,2571986572.12719
187,Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,1960,7515892289.174
188,Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,1960,
189,Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,1960,230496036.907025
190,Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1960,
191,Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1960,20753285598.4638
192,Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1960,1691900000.0
193,"Korea, Dem. People's Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,1960,
194,Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,1960,3193200404.37297
195,Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,1960,
196,West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,1960,
197,Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,1960,
198,Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,1960,1047773359738.19
199,French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,1960,
200,Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,1960,
201,Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,1960,
202,Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1960,
203,Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,1960,119000024.119
204,South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,1960,47156704038.6455
205,Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,1960,
206,Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,1960,1126364161.7644
207,Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,1960,1003692368.83803
208,Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,1960,704751699.827961
209,Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1960,
210,Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1960,321993630.573248
211,El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,1960,
212,San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1960,
213,Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,1960,180459936.62083
214,Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,1960,
215,Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1960,31027714943.1575
216,South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,1960,
217,Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1960,31038651924.7156
218,Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,1960,
219,Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,1960,
220,Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,1960,99650000.0
221,Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,1960,
222,Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,1960,
223,Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,1960,15822585461.2453
224,Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1960,35076845.9832923
225,Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,1960,
226,Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1960,12012025.2477875
227,Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,1960,857704413.647403
228,Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,1960,
229,Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1960,313582727.638108
230,East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,1960,81224776384.7074
231,Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,1960,
232,Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,1960,164603553.982281
233,Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,1960,2760750921.40101
234,Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,1960,
235,Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,1960,
236,Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,1960,79315282447.4448
237,Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,1960,
238,Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
239,Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,1960,
240,South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,1960,47156704038.6455
241,Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1960,31038651924.7155
242,Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,1960,535673252.260337
243,Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,1960,
244,Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,1960,7552470818.80865
245,Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,1960,
246,Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,1960,
247,Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,1960,423008385.744235
248,Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,1960,
249,Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,1960,229313536534.492
250,Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1960,1242289239.20493
251,United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1960,543300000000.0
252,Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1960,
253,St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1960,13066633.9946372
254,"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,1960,7663938303.07172
255,British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,1960,
256,Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,1960,
257,Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,1960,
258,Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,1960,
259,World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1960,1384857385930.82
260,Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,1960,
261,Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,1960,
262,"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,1960,
263,South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1960,8748596504.06083
264,Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1960,713000000.0
265,Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1960,1052990400.0
266,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1961,
267,Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1961,21616228139.0375
268,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1961,548888895.555556
269,Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,1961,11173212080.394
270,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1961,
271,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1961,
272,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1961,
273,Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1961,
274,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1961,
275,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1961,
276,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1961,
277,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1961,
278,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1961,
279,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1961,19682883151.6233
280,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1961,7311749633.36229
281,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1961,
282,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1961,202999991.80106
283,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1961,12400145221.595
284,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1961,235668220.872225
285,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1961,350247234.801719
286,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1961,4817580183.60155
287,Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1961,
288,Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1961,
289,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1961,190098039.215686
290,Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1961,
291,Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1961,
292,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1961,29964999.9560105
293,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1961,89249986.6972895
294,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1961,410101010.10101
295,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1961,17275940449.3837
296,Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1961,
297,Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1961,
298,Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1961,
299,Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1961,32902592.8362861
300,Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1961,123134583.653758
301,Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1961,40935133543.1576
302,Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1961,
303,Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1961,10712712645.6663
304,Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1961,
305,Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1961,4828612639.17894
306,China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1961,50056688014.5744
307,Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1961,618245635.134801
308,Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1961,652777609.328803
309,"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1961,3086746857.14286
310,"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1961,151675739.160627
311,Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1961,4540447761.87171
312,Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1961,
313,Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1961,
314,Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1961,490325181.614275
315,Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1961,2038322827.28313
316,Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1961,
317,Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,1961,
318,Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,1961,
319,Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1961,
320,Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,1961,
321,Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1961,
